Device;Framework;Model;Configuration;Energy Consumption (E) (kWh);Carbon Footprint (C) (kg CO2eq);;
neowise;ORT;Mobilenet;MS;0.01024780;0.00368921;;(PUE=1.2, CI=0.300)
neowise;ORT;Mobilenet;SS;0.00757042;0.00272535;;(PUE=1.2, CI=0.300)
neowise;ORT;ResNet50;MS;0.03472680;0.01250165;;(PUE=1.2, CI=0.300)
neowise;ORT;ResNet50;SS;0.01080080;0.00388830;;(PUE=1.2, CI=0.300)
neowise;TF;Mobilenet;MS;0.02205900;0.00794124;;(PUE=1.2, CI=0.300)
neowise;TF;Mobilenet;SS;0.01078641;0.00388311;;(PUE=1.2, CI=0.300)
neowise;TF;ResNet50;MS;0.02953239;0.01063166;;(PUE=1.2, CI=0.300)
neowise;TF;ResNet50;SS;0.01087263;0.00391415;;(PUE=1.2, CI=0.300)
nova;ORT;Mobilenet;MS;0.01121531;0.00403751;;(PUE=1.2, CI=0.300)
nova;ORT;Mobilenet;SS;0.00306628;0.00110386;;(PUE=1.2, CI=0.300)
nova;ORT;ResNet50;MS;0.01627233;0.00585804;;(PUE=1.2, CI=0.300)
nova;ORT;ResNet50;SS;0.00459891;0.00165561;;(PUE=1.2, CI=0.300)
nova;TF;Mobilenet;MS;0.01262351;0.00454446;;(PUE=1.2, CI=0.300)
nova;TF;Mobilenet;SS;0.00474267;0.00170736;;(PUE=1.2, CI=0.300)
nova;TF;ResNet50;MS;0.01590180;0.00572465;;(PUE=1.2, CI=0.300)
nova;TF;ResNet50;SS;0.00468570;0.00168685;;(PUE=1.2, CI=0.300)
